개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,최종수정시점
3740000,202437400000101393,공중화장실,법제3조제3호,재미난밭,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원),2,3,1,5,1,1,8,1,1,수원시 공원녹지사업소,,상시,,,,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,2026-02-23 13:57:02
3740000,202437400000101339,공중화장실,법제3조제3호,팔달구보건소,경기도 수원시 팔달구 팔달산로 6(교동),경기도 수원시 팔달구 교동 56-1,2,2,2,1,0,0,3,1,0,팔달구보건소,,정시,평일 09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,2026-02-23 14:46:54
3740000,202437400000101474,공중화장실,법제3조제3호,선일어린이공원(어공6호),경기도 수원시 권선구 권중로120번길 17(권선동),경기도 수원시 권선구 권선동 1275,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,,정시,09~18시,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,2026-02-21 10:01:14
3740000,202437400000101308,공중화장실,법제3조제11호,형제주유소,경기도 수원시 권선구 수인로 446 (입북동),경기도 수원시 권선구 입북동 426-1,2,2,0,0,0,0,2,0,0,형제주유소,,정시,06:00~22:00,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-23 15:08:27
3740000,202437400000101823,개방화장실,법제3조제17호-영제3조제2항제1호,현대홈타운(제2상가)(구 매탄시장),경기도 수원시 영통구 권광로 260번길 36(매탄동),경기도 수원시 영통구 매탄동 176,1,2,0,0,0,0,1,1,0,현대홈타운(제2상가)(구 매탄시장),,상시,,,,,민간,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-20 16:22:04
3740000,202437400000101494,공중화장실,법제3조제3호,쉼터,경기도 수원시 장안구 경수대로1283(이목동),경기도 수원시 장안구 이목동 563,2,3,1,1,1,0,3,1,0,수원시 장안구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,2026-02-21 09:49:32
3740000,202437400000101347,공중화장실,법제3조제3호,탑동,경기도 수원시 권선구 탑동로57번길 35(탑동),경기도 수원시 권선구 탑동 746-1,2,1,1,1,0,0,3,1,0,수원시 권선구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2026-02-20,2026-02-23 14:42:20
3740000,202437400000101890,개방화장실,법제3조제17호-영제3조제2항제1호,나눔프라자,경기도 수원시 권선구 동수원로242번길 6(권선동),경기도 수원시 권선구 권선동 1296-2,5,5,0,0,0,0,6,0,0,나눔프라자,,상시,,,,,민간,수세식,N,N,,N,N,,,2026-02-20,2026-02-23 15:59:39
3740000,202437400000101437,공중화장실,법제3조제3호,스파이더맨주유소,경기도 수원시 권선구 덕영대로 1136(세류동),경기도 수원시 권선구 세류동 1126-6,1,2,0,0,0,0,1,0,0,스파이더맨주유소,,정시,05:00~22:00,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-21 10:19:48
3740000,202437400000101747,공중화장실,법제3조제3호,광교주차시설내,경기도 수원시 장안구 수원시 장안구 광교산로 159(하광교동),경기도 수원시 장안구 수원시 장안구 하광교동 393-2,3,7,1,1,0,0,10,1,0,수원도시공사,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,2026-02-20 17:42:31
3740000,202437400000101549,공중화장실,법제3조제3호,솟대,,경기도 수원시 장안구 천천동 483-6,1,2,1,1,0,0,2,1,0,수원시 장안구 환경위생과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-21 09:21:20
3740000,202437400000101840,개방화장실,법제3조제17호-영제3조제2항제1호,정자시장,경기도 수원시 장안구 장안로 89번길 47,경기도 수원시 장안구 정자동 74,1,1,1,0,0,0,2,1,0,정자시장,,상시,,,,,민간,수세식,N,N,,N,N,,,2026-02-20,2026-02-20 16:06:54
3740000,202437400000101707,공중화장실,법제3조제11호,노송주유소,경기도 수원시 장안구 서부로 2359(이목동),경기도 수원시 장안구 이목동 259,0,2,0,0,0,0,2,0,0,노송주유소,,상시,,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-21 07:39:57
3740000,202437400000101343,공중화장실,법제3조제3호,태장파출소,경기도 수원시 영통구 영통로143(망포동),경기도 수원시 영통구 망포동 396-1,1,1,0,0,0,0,1,0,0,수원영통경찰서,,상시,,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-23 14:44:00
3740000,202437400000101346,공중화장실,법제3조제11호,탑동충전소,경기도 수원시 권선구 서부로 1782 (탑동),경기도 수원시 권선구 탑동 428-2,1,2,0,0,0,0,1,0,0,탑동충전소,,정시,00:00~24:00,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-23 14:42:46
3740000,202437400000101564,공중화장실,법제3조제3호,선경도서관,경기도 수원시 팔달구 신풍로23번길 68(신풍동),경기도 수원시 팔달구 신풍동 123-68,10,16,0,1,0,0,13,0,0,수원시 도서관사업소,,정시,"07:00~23:00(둘째, 네째주 월요일 휴무)",,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실,,2026-02-20,2026-02-21 09:11:25
3740000,202437400000101539,공중화장실,법제3조제3호,수원병원본관1층남쪽,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",경기도 수원시 장안구 정자동 886-9 경기도립수원의료원,1,3,0,0,0,0,2,0,0,수원병원본관1층남쪽,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,N,N,,Y,N,,,2026-02-20,2026-02-21 09:28:56
3740000,202437400000101371,공중화장실,법제3조제3호,지혜샘도서관 2층,경기도 수원시 권선구 동탄원천로 818(권선동),경기도 수원시 권선구 권선동 1310,2,3,0,0,0,0,4,0,0,수원시도서관사업소,,정시,평일 09:00~18:00(매주 월요일 휴무),,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-23 14:25:54
3740000,202437400000101708,공중화장실,법제3조제11호,남선주유소,경기도 수원시 권선구 권선로 334 (고색동),경기도 수원시 권선구 고색동 14-33,1,2,0,0,0,0,1,0,0,남선주유소,,정시,06:00~22:00,,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,2026-02-21 07:39:33
3740000,202437400000101335,공중화장실,법제3조제3호,팔달노인복지관 2층,경기도 수원시 팔달구 수원천로 343(북수동),경기도 수원시 팔달구 북수동 274-7,2,2,0,0,0,0,5,0,0,팔달노인복지관,,정시,평일09:00~18:00/토요일09:00~13:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-23 14:49:10
3740000,202437400000101685,공중화장실,법제3조제3호,돌하루방,경기도 수원시 팔달구 동수원로397(인계동),경기도 수원시 팔달구 인계동 1117,3,3,1,0,0,1,3,1,6,수원시 팔달구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,2026-02-21 07:54:36
3740000,202437400000101687,공중화장실,법제3조제3호,도토리,경기도 수원시 권선구 권중로 66(권선동),경기도 수원시 권선구 권선동 1269(권선중앙공원 배드민턴장 옆),1,1,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-21 07:53:41
3740000,202437400000101733,공중화장실,법제3조제3호,권선(늘푸른),경기도 수원시 권선구 동탄원천로 818(권선동),경기도 수원시 권선구 권선동 1310,3,6,0,0,0,0,5,0,0,수원시 권선구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-20 17:55:17
3740000,202437400000101594,공중화장실,법제3조제3호,봉화대,경기도 수원시 팔달구 창룡대로104번길158(남수동),경기도 수원시 팔달구 남수동 7-3,1,3,1,0,0,0,2,1,0,수원시 화성사업소,,상시,,,,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,2026-02-21 08:48:09
3740000,202437400000101520,공중화장실,법제3조제3호,수원시연화장(장례식장2층우측),"경기도 수원시 영통구 광교호수로 278, 수원시 연화장 (하동)",경기도 수원시 영통구 하동 20 수원시 연화장,4,4,0,0,0,0,4,0,0,수원시연화장,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,2026-02-21 09:36:24
3740000,202437400000101698,공중화장실,법제3조제3호,당수체육공원,경기도 수원시 권선구 당진로32번길 49(당수동),경기도 수원시 권선구 당수동 162-1,2,4,0,0,0,0,9,0,0,수원시 권선구 녹지공원과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실,,2026-02-20,2026-02-21 07:46:58
3740000,202437400000101444,공중화장실,법제3조제3호,영화동행정복지센터,경기도 수원시 장안구 수성로382번길 24(영화동),경기도 수원시 장안구 영화동 250-1,2,1,1,1,0,0,4,1,0,영화동행정복지센터,,정시,평일 09:00~18:00,,,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,2026-02-21 10:16:00
3740000,202437400000101841,개방화장실,법제3조제17호-영제3조제2항제1호,정석그린프라자,경기도 수원시 영통구 태장로 73(망포동),경기도 수원시 영통구 망포동 378,2,3,0,0,0,0,2,0,0,정석그린프라자,,상시,,,,,민간,수세식,N,N,,N,N,,,2026-02-20,2026-02-20 16:06:15
