개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,최종수정시점
3000000,202530000000100842,개방화장실,법제3조제16호-영제3조제1항제1호,종로문화체육센터,서울특별시 종로구 인왕산로1길 21,서울특별시 종로구 사직동 284-1,2,3,1,1,1,1,7,1,1,종로구시설관리공단 건강사업부,027329393,정시,09:00~18:00,,37.57428,126.96468,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,장애인화장실,N,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100863,공중화장실,법제3조제16호-영제3조제1항제1호,통인시장 고객만족센터,서울특별시 종로구 자하문로 15길 18,서울특별시 종로구 통인동 10-3,2,3,1,0,0,0,4,1,0,통인시장 상인회,027220911,정시,11:00~16:00,201002,37.58077,126.96995,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100830,개방화장실,법제3조제16호-영제3조제1항제1호,보건소,서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,7,7,0,0,0,0,10,0,0,종로보건소,0221483520,정시,평일9시간(09:00~18:00),,37.58177,126.96926,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100953,개방화장실,법제3조제17호-영제3조제2항제1호,"광장시장(합동,화창빌딩)",서울특별시 종로구 종로 194-7,서울특별시 종로구 종로4가 158,2,2,0,0,0,0,2,0,0,"광장시장(합동,화창빌딩)",,정시,07:00-18:00+일요일폐쇄,,37.57042,126.99938,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100895,공중화장실,법제3조제16호-영제3조제1항제1호,동대문역(4),서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 종로6가,2,4,0,0,0,0,4,0,0,서울교통공사,0261104211,정시,05~24,,37.561159,126.994398,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100891,공중화장실,법제3조제16호-영제3조제1항제1호,안국역(3),서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 안국동 1,4,4,0,0,0,0,4,0,0,서울교통공사,0261103281,정시,05~24,,37.566412,126.994185,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100886,공중화장실,법제3조제16호-영제3조제1항제1호,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,1,2,0,0,0,0,1,0,0,서울교통공사,0261101271,정시,05~24,,37.573281,127.016649,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100929,개방화장실,법제3조제17호-영제3조제2항제1호,버거킹(종로점),서울특별시 종로구 종로 94,서울특별시 종로구 종로2가 56-23,1,1,0,0,0,0,4,0,0,버거킹(종로점),,정시,09:00-24:00,,37.56994,126.98811,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100803,공중화장실,법제3조제16호-영제3조제1항제1호,인왕산 청운지구(2)(청운공원 화장실),서울특별시 종로구 청운동 7-3,서울특별시 종로구 청운동 7-3,2,3,1,0,0,0,5,1,1,종로구청 도시녹지과,0221482832,상시,,200901,37.59103,126.96627,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100960,개방화장실,법제3조제17호-영제3조제2항제1호,허리우드극장(낙원상가4층),서울특별시 종로구 삼일대로 428,서울특별시 종로구 낙원동 284-6,3,5,1,1,0,0,9,1,0,허리우드극장(낙원상가4층),,정시,09:30-17:00,,37.57258,126.98781,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100910,개방화장실,법제3조제16호-영제3조제1항제1호,종묘공영주차장(주차시설운영처),서울특별시 종로구 훈정동 2,서울특별시 종로구 훈정동 1-2,3,6,0,0,0,0,3,0,0,서울시설공단 주차시설운영처,0222906114,정시,00~24,200001,37.5715,126.99505,공공기관-국가공공기관,수세식,N,N,,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100860,개방화장실,법제3조제16호-영제3조제1항제1호,동대문지하상가 화장실,서울특별시 종로구 율곡로 지하 308,서울특별시 종로구 종로6가 287-1 4호선 동대문역,3,5,0,0,0,0,8,0,0,서울시시설관리공단,0222906545,정시,06:00~24:00,,37.57616,126.99479,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100912,공중화장실,법제3조제16호-영제3조제1항제1호,구기동공중화장실,서울특별시 종로구 비봉길 13,서울특별시 종로구 구기동 120-16,2,3,1,0,0,0,5,1,0,종로구청 청소행정과,0221482383,상시,,201002,37.60962,126.95642,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100928,개방화장실,법제3조제17호-영제3조제2항제1호,영풍빌딩,서울특별시 종로구 청계천로 41,서울특별시 종로구 서린동 33,2,3,0,0,0,0,3,0,0,영풍빌딩,,정시,07:00-22:30,,37.56958,126.98214,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100946,개방화장실,법제3조제17호-영제3조제2항제1호,버거킹(수송동점),서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,1,1,0,0,0,0,1,0,0,버거킹(수송동점),,상시,,,37.57258,126.98048,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100846,공중화장실,법제3조제16호-영제3조제1항제1호,주식회사 대양씨앤씨 경복궁주유소,서울특별시 종로구 율곡로 6,서울특별시 종로구 중학동 14,1,0,0,0,0,0,1,0,0,종로구청 환경과,0221482114,상시,,,37.57629,126.98928,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100971,개방화장실,법제3조제17호-영제3조제2항제1호,월드그랑서울,서울특별시 종로구 종로 33,서울특별시 종로구 청진동 119-1,3,5,2,0,0,0,8,2,0,월드그랑서울,,상시,,,37.57111,126.98139,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100884,공중화장실,법제3조제16호-영제3조제1항제1호,종로5가역(1),서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로5가,4,4,0,0,0,0,5,0,0,서울교통공사,0261101291,정시,05~24,,37.571743,127.011169,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100864,공중화장실,법제3조제16호-영제3조제1항제1호,광장전통시장 기부채납건물 1층,서울특별시 종로구 동호로 403-26,서울특별시 종로구 종로5가 138-33,1,2,1,0,0,0,3,1,0,지역경제과,0221482272,정시,10:00~19:00,202211,37.57046,127.00108,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100990,개방화장실,법제3조제17호-영제3조제2항제1호,홍염장 공방,서울특별시 종로구 재동 33,서울특별시 종로구 재동 33,0,0,1,0,0,0,0,1,0,홍염장 공방,,정시,10:00~17:00,,37.57895,126.98423,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100906,개방화장실,법제3조제16호-영제3조제1항제1호,서울글로벌센터,서울특별시 종로구 종로 38 서울글로벌센터,서울특별시?종로구?서린동 63,0,0,1,1,0,1,0,1,0,서울시설공단 상가운영처,027396808,정시,08~19,,37.56986,126.98147,공공기관-국가공공기관,수세식,N,Y,장애인화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100942,개방화장실,법제3조제17호-영제3조제2항제1호,여전도회관,서울특별시 종로구 율곡로 190,서울특별시 종로구 연지동 1-1,2,2,0,0,0,0,2,0,0,여전도회관,,정시,06:00-23:00,,37.57293,126.99947,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100808,공중화장실,법제3조제16호-영제3조제1항제1호,와룡공원(배드민턴장),서울특별시 종로구 명륜3가 산2-14,서울특별시 종로구 명륜3가 산2-14,1,2,1,0,0,0,3,1,0,종로구청 도시녹지과,0221482832,상시,,201301,37.59158,126.99236,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100811,공중화장실,법제3조제16호-영제3조제1항제1호,마로니에공원(지상1층),서울특별시 종로구 동숭동 1-124,서울특별시 종로구 동숭동 1-124,4,4,1,0,0,1,9,1,0,종로구청 도시녹지과,0221482832,정시,16시간,201301,37.58049,127.00272,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100848,공중화장실,법제3조제16호-영제3조제1항제1호,㈜중앙에너비스 혜화지점,서울특별시 종로구 창경궁로35길 1,서울특별시 종로구 혜화동 102-2,1,1,0,0,0,0,1,0,0,종로구청 환경과,0221482114,정시,05:00~23:00,,37.58609,127.00107,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100954,개방화장실,법제3조제17호-영제3조제2항제1호,대학로예술극장,서울특별시 종로구 대학로10길 17,서울특별시 종로구 동숭동 1-67,4,3,0,0,0,0,2,0,0,대학로예술극장,,정시,09:00-22:00,,37.58322,127.0044,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100800,공중화장실,법제3조제16호-영제3조제1항제1호,인왕산 무악지구 공중화장실(인왕사 화장실),서울특별시 종로구 무악동 산2-84,서울특별시 종로구 무악동 산2-84,2,2,0,0,0,0,3,0,0,종로구청 도시녹지과,0221482832,상시,,202101,37.57822,126.96044,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100805,공중화장실,법제3조제16호-영제3조제1항제1호,창의문안내소 공중화장실(창의문 안내소 앞),서울특별시 종로구 청운동 산1-1,서울특별시 종로구 청운동 산1-1,2,3,1,0,0,0,7,1,0,종로구청 도시녹지과,0221482832,상시,,200701,37.59135,126.97183,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100898,공중화장실,법제3조제16호-영제3조제1항제1호,종로3가역(5),서울특별시 종로구 낙원동 126 종로3가역(5호선),서울특별시 종로구 낙원동 1,5,6,0,0,0,0,7,0,0,서울교통공사,0263115341,정시,05~24,,37.5715,126.989059,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100866,개방화장실,법제3조제16호-영제3조제1항제1호,혜화동공중화장실(한옥청사),서울특별시 종로구 혜화로 12,서울특별시 종로구 혜화동 74-29,1,1,0,0,0,0,1,0,0,종로구 혜화동주민센터,0221485334,정시,09:00~18:00,200704,37.58683,127.00053,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100984,개방화장실,법제3조제17호-영제3조제2항제1호,㈜지에스이앤알 평창주유소,서울특별시 종로구 평창문화로 135,서울특별시 종로구 평창동 80-1,1,2,0,0,0,0,1,0,0,㈜지에스이앤알 평창주유소,,상시,,,37.60974,126.97452,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100882,공중화장실,법제3조제16호-영제3조제1항제1호,종로3가역(1),서울특별시 종로3가 10-5 1호선 종로3가역(1호선),서울특별시 종로구 종로3가 10-5,5,6,0,0,0,0,7,0,0,서울교통공사,0261101301,정시,05~24,,37.57042,126.992153,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100940,개방화장실,법제3조제17호-영제3조제2항제1호,인창빌딩,서울특별시 종로구 인사동길 29,서울특별시 종로구 관훈동 197-4,1,1,0,0,0,0,1,0,0,인창빌딩,,정시,05:00-24:00,,37.57423,126.98601,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100983,개방화장실,법제3조제17호-영제3조제2항제1호,SK네트웍스㈜재동주유소,서울특별시 종로구 율곡로 58,서울특별시 종로구 경운동 96-18,1,1,0,0,0,0,1,0,0,SK네트웍스㈜재동주유소,,정시,06:00~23:00,,37.57643,126.98585,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100870,개방화장실,법제3조제16호-영제3조제1항제1호,창신3동 주민센터,"서울특별시 종로구 지봉로 87, 2층",서울특별시 종로구 창신동 23-816,1,2,1,1,0,0,2,1,0,종로구 창신3동주민센터,0221485454,정시,09:00~18:00,200308,37.578,127.0147,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100839,개방화장실,법제3조제16호-영제3조제1항제1호,남인사마당 공중화장실,서울특별시 종로구 인사동길 6,서울특별시 종로구 인사동 43-2,5,10,1,1,0,1,25,1,1,종로구시설관리공단 시설관리부,027307282,정시,07:00~23:00,201001,37.57172,126.98608,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100893,공중화장실,법제3조제16호-영제3조제1항제1호,종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,2,1,0,0,0,0,1,0,0,서울교통공사,0261103291,정시,05~24,,37.57156329,126.9918758,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100989,개방화장실,법제3조제17호-영제3조제2항제1호,인사동마루 본관,서울특별시 종로구 인사동길 35-6,서울특별시 종로구 관훈동 192-15,0,0,1,0,0,0,0,1,0,인사동마루,,정시,10:30~18:30,,37.57346,126.98512,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100904,개방화장실,법제3조제16호-영제3조제1항제1호,동대문,서울특별시 종로구 율곡로 지하 308호,서울특별시 종로구 종로6가 287-1,3,5,0,0,0,0,8,0,0,서울시설공단 상가운영처,0222906545,정시,05~24,,37.57616,126.99479,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100947,개방화장실,법제3조제17호-영제3조제2항제1호,신진시장(만남의 장소),서울특별시 종로구 종로38길 16,서울특별시 종로구 종로5가 225-21,1,2,0,0,0,0,4,0,0,신진시장(만남의 장소),,상시,,,37.57023,127.00495,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100809,공중화장실,법제3조제16호-영제3조제1항제1호,경희궁공원,서울특별시 종로구 신문로2가 2-1,서울특별시 종로구 신문로2가 2-1,1,5,1,0,0,0,1,1,0,종로구청 도시녹지과,0221482832,상시,,200801,37.57076,126.96884,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100958,개방화장실,법제3조제17호-영제3조제2항제1호,세운스퀘어(주얼리관),서울특별시 종로구 창경궁로 109,서울특별시 종로구 인의동 112-2,2,3,1,0,0,0,5,1,0,세운스퀘어,,정시,09:30-20:00 +일요일폐쇄,,37.57229,126.99707,민간,수세식,N,N,,N,N,,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100913,공중화장실,법제3조제16호-영제3조제1항제1호,삼청동공중화장실,서울특별시 종로구 삼청로 117,서울특별시 종로구 삼청동 145-2,2,3,1,0,0,0,5,1,0,종로구청 청소행정과,0221482383,상시,,201003,37.58591,126.98162,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-12-31,2025-11-10 09:45:40
3000000,202530000000100810,공중화장실,법제3조제16호-영제3조제1항제1호,숭인공원,서울특별시 종로구 숭인동 58,서울특별시 종로구 숭인동 58,2,2,1,0,0,0,4,1,0,종로구청 도시녹지과,0221482832,상시,,201801,37.57606,127.01755,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2024-12-31,2025-11-10 09:45:40
