id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-1,삼성산 화장실,경기도 안양시 만안구 석수동 산45-46,37.417494,126.913208,false,true,상시,1,1,3,false,false,2022-12-31
pd-2,삼막사초소 공중화장실,경기도 안양시 만안구 석수동 산14-4,37.436811,126.924458,false,true,상시,1,2,2,false,false,2022-12-31
pd-3,애향소공원 공중화장실,경기도 안양시 만안구 안양천서로 190,37.394322,126.937201,false,true,상시,1,2,2,true,true,2022-12-31
pd-4,신촌동 행정복지센터 화장실,경기도 안양시 동안구 동안로 28,37.38197,126.956442,true,true,09:00~18:00,4,7,10,true,false,2022-12-31
pd-5,평촌경영고 앞 공중화장실,경기도 안양시 동안구 학의로 191,37.4014187,126.9558329,false,true,상시,1,2,2,true,true,2022-12-31
pd-6,동안보건소 화장실,경기도 안양시 동안구 평촌대로253번길 41,37.392966,126.952042,true,true,09:00~18:00,8,8,12,true,false,2022-12-31
pd-7,부림동 행정복지센터 화장실,경기도 안양시 동안구 달안로 154,37.39882,126.9596,false,true,09:00~18:00,3,3,4,false,false,2022-12-31
pd-8,충훈2교하류 제방 공중화장실,경기도 안양시 만안구 석수로 159,37.40452127,126.896203,false,true,상시,1,1,2,true,true,2022-12-31
pd-9,호계3동 행정복지센터 화장실,경기도 안양시 동안구 경수대로 504,37.367629,126.9588204,true,true,08:00~20:00,10,8,18,false,false,2022-12-31
pd-10,호계1동 행정복지센터 화장실,경기도 안양시 동안구 경수대로 538,37.3709,126.9583,true,true,09:00~18:00,1,2,3,true,true,2022-12-31
pd-11,연현마을 공중화장실,경기도 안양시 석수동 461-2,37.4294958,126.8985783,true,true,상시,2,3,4,true,true,2022-12-31
pd-12,비산1동행정복지센터 공중화장실,경기도 안양시 동안구 비산로 12(비산동),37.3998143,126.9336974,true,true,09:00~18:00,8,4,13,true,false,2022-12-31
pd-13,미륭아파트 앞 공중화장실,경기도 안양시 동안구 경수대로 868번길 16,37.39839602,126.9443554,true,true,상시,1,2,3,true,true,2022-12-31
pd-14,옥지압마당(현충탑) 공중화장실,경기도 안양시 만안구 안양동 산103-174,37.388986,126.922054,false,true,상시,1,0,1,false,false,2022-12-31
